EQUITY TABLE
TRADE,SYMBOL,TYPE,ENTRY DATE,ENTRY PRICE,EXIT DATE,EXIT PRICE,PL/CNTR,RISK/CNTR,DELTA,CONTRACTS,COSTS,POS PL,MARGIN,DRAWDOWN,EQUITY
1,     ,Regular,07/01/2013, ,07/01/2013, ,"-154,94",NA,"58750,",1,"0,00","-154,94","51.150,00","155 (0,0620)","249.845,06"
2,     ,Regular,08/01/2013, ,08/01/2013, ,"154,30",NA,"58750,",1,"0,00","154,30","51.150,00","1 (0,000256)","249.999,36"
3,     ,Regular,09/01/2013, ,09/01/2013, ,"-74,63",NA,"58750,",1,"0,00","-74,63","51.150,00","75 (0,0301)","249.924,73"
4,     ,Regular,10/01/2013, ,10/01/2013, ,"589,16",NA,"58750,",1,"0,00","589,16","51.150,00","0 (0,00)","250.513,89"
5,     ,Regular,11/01/2013, ,11/01/2013, ,"-176,47",NA,"58750,",1,"0,00","-176,47","51.150,00","176 (0,0704)","250.337,42"
6,     ,Regular,14/01/2013, ,14/01/2013, ,"-208,76",NA,"58750,",1,"0,00","-208,76","51.150,00","385 (0,154)","250.128,66"
7,     ,Regular,15/01/2013, ,15/01/2013, ,"-1.382,77",NA,"58750,",1,"0,00","-1.382,77","51.150,00","1.768 (0,706)","248.745,89"
8,     ,Regular,16/01/2013, ,16/01/2013, ,"-957,87",NA,"58750,",1,"0,00","-957,87","51.150,00","2.726 (1,09)","247.788,02"
9,     ,Regular,17/01/2013, ,17/01/2013, ,"483,32",NA,"58750,",1,"0,00","483,32","51.150,00","2.243 (0,895)","248.271,34"
10,     ,Regular,18/01/2013, ,18/01/2013, ,"-117,60",NA,"58750,",1,"0,00","-117,60","51.150,00","2.360 (0,942)","248.153,74"
11,     ,Regular,21/01/2013, ,21/01/2013, ,"-328,01",NA,"58750,",1,"0,00","-328,01","51.150,00","2.688 (1,07)","247.825,73"
12,     ,Regular,22/01/2013, ,22/01/2013, ,"-1.115,57",NA,"58750,",1,"0,00","-1.115,57","51.150,00","3.804 (1,52)","246.710,16"
13,     ,Regular,23/01/2013, ,23/01/2013, ,"-186,23",NA,"58750,",1,"0,00","-186,23","51.150,00","3.990 (1,59)","246.523,93"
14,     ,Regular,24/01/2013, ,24/01/2013, ,"-1.080,49",NA,"58750,",1,"0,00","-1.080,49","51.150,00","5.070 (2,02)","245.443,44"
15,     ,Regular,25/01/2013, ,25/01/2013, ,"2.678,68",NA,"58750,",1,"0,00","2.678,68","51.150,00","2.392 (0,955)","248.122,12"
16,     ,Regular,28/01/2013, ,28/01/2013, ,"372,83",NA,"58750,",1,"0,00","372,83","51.150,00","2.019 (0,806)","248.494,95"
17,     ,Regular,30/01/2013, ,30/01/2013, ,"85,62",NA,"58750,",1,"0,00","85,62","51.150,00","1.933 (0,772)","248.580,57"
18,     ,Regular,01/02/2013, ,01/02/2013, ,"-535,76",NA,"58750,",1,"0,00","-535,76","51.150,00","2.469 (0,986)","248.044,81"
19,     ,Regular,04/02/2013, ,04/02/2013, ,"1.350,48",NA,"58750,",1,"0,00","1.350,48","51.150,00","1.119 (0,447)","249.395,29"
20,     ,Regular,05/02/2013, ,05/02/2013, ,"204,78",NA,"58750,",1,"0,00","204,78","51.150,00","914 (0,365)","249.600,07"
21,     ,Regular,06/02/2013, ,06/02/2013, ,"-339,37",NA,"58750,",1,"0,00","-339,37","51.150,00","1.253 (0,500)","249.260,70"
22,     ,Regular,07/02/2013, ,07/02/2013, ,"741,56",NA,"58750,",1,"0,00","741,56","51.150,00","512 (0,204)","250.002,26"
23,     ,Regular,08/02/2013, ,08/02/2013, ,"-1.085,81",NA,"58750,",1,"0,00","-1.085,81","51.150,00","1.597 (0,638)","248.916,45"
24,     ,Regular,11/02/2013, ,11/02/2013, ,"-93,62",NA,"58750,",1,"0,00","-93,62","51.150,00","1.691 (0,675)","248.822,83"
25,     ,Regular,12/02/2013, ,12/02/2013, ,"-213,14",NA,"58750,",1,"0,00","-213,14","51.150,00","1.904 (0,760)","248.609,69"
26,     ,Regular,13/02/2013, ,13/02/2013, ,"350,09",NA,"58750,",1,"0,00","350,09","51.150,00","1.554 (0,620)","248.959,78"
27,     ,Regular,14/02/2013, ,14/02/2013, ,"-254,08",NA,"58750,",1,"0,00","-254,08","51.150,00","1.808 (0,722)","248.705,70"
28,     ,Regular,15/02/2013, ,15/02/2013, ,"-526,55",NA,"58750,",1,"0,00","-526,55","51.150,00","2.335 (0,932)","248.179,15"
29,     ,Regular,18/02/2013, ,18/02/2013, ,"-108,66",NA,"58750,",1,"0,00","-108,66","51.150,00","2.443 (0,975)","248.070,49"
30,     ,Regular,19/02/2013, ,19/02/2013, ,"-811,60",NA,"58750,",1,"0,00","-811,60","51.150,00","3.255 (1,30)","247.258,89"
31,     ,Regular,20/02/2013, ,20/02/2013, ,"257,92",NA,"58750,",1,"0,00","257,92","51.150,00","2.997 (1,20)","247.516,81"
32,     ,Regular,21/02/2013, ,21/02/2013, ,"-79,74",NA,"58750,",1,"0,00","-79,74","51.150,00","3.077 (1,23)","247.437,07"
33,     ,Regular,22/02/2013, ,22/02/2013, ,"-85,24",NA,"58750,",1,"0,00","-85,24","51.150,00","3.162 (1,26)","247.351,83"
34,     ,Regular,25/02/2013, ,25/02/2013, ,"468,79",NA,"58750,",1,"0,00","468,79","51.150,00","2.693 (1,08)","247.820,62"
35,     ,Regular,26/02/2013, ,26/02/2013, ,"510,55",NA,"58750,",1,"0,00","510,55","51.150,00","2.183 (0,871)","248.331,17"
36,     ,Regular,28/02/2013, ,28/02/2013, ,"318,95",NA,"58750,",1,"0,00","318,95","51.150,00","1.864 (0,744)","248.650,12"
37,     ,Regular,01/03/2013, ,01/03/2013, ,"60,48",NA,"58750,",1,"0,00","60,48","51.150,00","1.803 (0,720)","248.710,60"
38,     ,Regular,06/03/2013, ,06/03/2013, ,"309,54",NA,"58750,",1,"0,00","309,54","51.150,00","1.494 (0,596)","249.020,14"
39,     ,Regular,07/03/2013, ,07/03/2013, ,"186,31",NA,"58750,",1,"0,00","186,31","51.150,00","1.307 (0,522)","249.206,45"
40,     ,Regular,08/03/2013, ,08/03/2013, ,"724,41",NA,"58750,",1,"0,00","724,41","51.150,00","583 (0,233)","249.930,86"
41,     ,Regular,11/03/2013, ,11/03/2013, ,"68,73",NA,"58750,",1,"0,00","68,73","51.150,00","514 (0,205)","249.999,59"
42,     ,Regular,12/03/2013, ,12/03/2013, ,"-217,18",NA,"58750,",1,"0,00","-217,18","51.150,00","731 (0,292)","249.782,41"
43,     ,Regular,14/03/2013, ,14/03/2013, ,"32,51",NA,"58750,",1,"0,00","32,51","51.150,00","699 (0,279)","249.814,92"
44,     ,Regular,15/03/2013, ,15/03/2013, ,"94,55",NA,"58750,",1,"0,00","94,55","51.150,00","604 (0,241)","249.909,47"
45,     ,Regular,18/03/2013, ,18/03/2013, ,"-579,42",NA,"58750,",1,"0,00","-579,42","51.150,00","1.184 (0,473)","249.330,05"
46,     ,Regular,19/03/2013, ,19/03/2013, ,"1.916,39",NA,"58750,",1,"0,00","1.916,39","51.150,00","0 (0,00)","251.246,44"
47,     ,Regular,20/03/2013, ,20/03/2013, ,"122,26",NA,"58750,",1,"0,00","122,26","51.150,00","0 (0,00)","251.368,70"
48,     ,Regular,21/03/2013, ,21/03/2013, ,"69,17",NA,"58750,",1,"0,00","69,17","51.150,00","0 (0,00)","251.437,87"
49,     ,Regular,25/03/2013, ,25/03/2013, ,"2.805,33",NA,"58750,",1,"0,00","2.805,33","51.150,00","0 (0,00)","254.243,20"
