EXIT DATE;PL/CNTR;RISK/CNTR;DELTA;CONTRACTS;POS PL;EQUITY
07/01/2013;-154,94;0;58750;1;-154,94;249.845,06
08/01/2013;154,3;0;58750;1;154,3;249.999,36
09/01/2013;-74,63;0;58750;1;-74,63;249.924,73
10/01/2013;589,16;0;58750;1;589,16;250.513,89
11/01/2013;-176,47;0;58750;1;-176,47;250.337,42
14/01/2013;-208,76;0;58750;1;-208,76;250.128,66
15/01/2013;-1.382,77;0;58750;1;-1.382,77;248.745,89
16/01/2013;-957,87;0;58750;1;-957,87;247.788,02
17/01/2013;483,32;0;58750;1;483,32;248.271,34
18/01/2013;-117,6;0;58750;1;-117,6;248.153,74
21/01/2013;-328,01;0;58750;1;-328,01;247.825,73
22/01/2013;-1.115,57;0;58750;1;-1.115,57;246.710,16
23/01/2013;-186,23;0;58750;1;-186,23;246.523,93
24/01/2013;-1.080,49;0;58750;1;-1.080,49;245.443,44
25/01/2013;2.678,68;0;58750;1;2.678,68;248.122,12
28/01/2013;372,83;0;58750;1;372,83;248.494,95
30/01/2013;85,62;0;58750;1;85,62;248.580,57
01/02/2013;-535,76;0;58750;1;-535,76;248.044,81
04/02/2013;1.350,48;0;58750;1;1.350,48;249.395,29
05/02/2013;204,78;0;58750;1;204,78;249.600,07
06/02/2013;-339,37;0;58750;1;-339,37;249.260,70
07/02/2013;741,56;0;58750;1;741,56;250.002,26
08/02/2013;-1.085,81;0;58750;1;-1.085,81;248.916,45
11/02/2013;-93,62;0;58750;1;-93,62;248.822,83
12/02/2013;-213,14;0;58750;1;-213,14;248.609,69
13/02/2013;350,09;0;58750;1;350,09;248.959,78
14/02/2013;-254,08;0;58750;1;-254,08;248.705,70
15/02/2013;-526,55;0;58750;1;-526,55;248.179,15
18/02/2013;-108,66;0;58750;1;-108,66;248.070,49
19/02/2013;-811,6;0;58750;1;-811,6;247.258,89
20/02/2013;257,92;0;58750;1;257,92;247.516,81
21/02/2013;-79,74;0;58750;1;-79,74;247.437,07
22/02/2013;-85,24;0;58750;1;-85,24;247.351,83
25/02/2013;468,79;0;58750;1;468,79;247.820,62
26/02/2013;510,55;0;58750;1;510,55;248.331,17
28/02/2013;318,95;0;58750;1;318,95;248.650,12
01/03/2013;60,48;0;58750;1;60,48;248.710,60
06/03/2013;309,54;0;58750;1;309,54;249.020,14
07/03/2013;186,31;0;58750;1;186,31;249.206,45
08/03/2013;724,41;0;58750;1;724,41;249.930,86
11/03/2013;68,73;0;58750;1;68,73;249.999,59
12/03/2013;-217,18;0;58750;1;-217,18;249.782,41
14/03/2013;32,51;0;58750;1;32,51;249.814,92
15/03/2013;94,55;0;58750;1;94,55;249.909,47
18/03/2013;-579,42;0;58750;1;-579,42;249.330,05
19/03/2013;1.916,39;0;58750;1;1.916,39;251.246,44
20/03/2013;122,26;0;58750;1;122,26;251.368,70
21/03/2013;69,17;0;58750;1;69,17;251.437,87
25/03/2013;2.805,33;0;58750;1;2.805,33;254.243,20
26/03/2013;94,55;0;58750;1;94,55;254.337,75
03/04/2013;350,61;0;58750;1;350,61;254.688,36
04/04/2013;1.064,95;0;58750;1;1.064,95;255.753,31
05/04/2013;-989,41;0;58750;1;-989,41;254.763,90
08/04/2013;984,82;0;58750;1;984,82;255.748,72
10/04/2013;-476,23;0;58750;1;-476,23;255.272,49
11/04/2013;-67,45;0;58750;1;-67,45;255.205,04
12/04/2013;-427,83;0;58750;1;-427,83;254.777,21
15/04/2013;3.194,88;0;58750;1;3.194,88;257.972,09
16/04/2013;-767,74;0;58750;1;-767,74;257.204,35
17/04/2013;1.834,69;0;58750;1;1.834,69;259.039,04
18/04/2013;700;0;58750;1;700;259.739,04
19/04/2013;-778,66;0;58750;1;-778,66;258.960,38
22/04/2013;397,43;0;58750;1;397,43;259.357,81
24/04/2013;-763,98;0;58750;1;-763,98;258.593,83
26/04/2013;54,57;0;58750;1;54,57;258.648,40
29/04/2013;-435,46;0;58750;1;-435,46;258.212,94
30/04/2013;-734,18;0;58750;1;-734,18;257.478,76
01/05/2013;1.561,14;0;58750;1;1.561,14;259.039,90
02/05/2013;39,73;0;58750;1;39,73;259.079,63
03/05/2013;447,66;0;58750;1;447,66;259.527,29
06/05/2013;-339,73;0;58750;1;-339,73;259.187,56
07/05/2013;862,26;0;58750;1;862,26;260.049,82
08/05/2013;-82,83;0;58750;1;-82,83;259.966,99
09/05/2013;-516,03;0;58750;1;-516,03;259.450,96
10/05/2013;226,14;0;58750;1;226,14;259.677,10
14/05/2013;-309,03;0;58750;1;-309,03;259.368,07
15/05/2013;247,48;0;58750;1;247,48;259.615,55
16/05/2013;273,97;0;58750;1;273,97;259.889,52
17/05/2013;-374,44;0;58750;1;-374,44;259.515,08
20/05/2013;-377,74;0;58750;1;-377,74;259.137,34
21/05/2013;56,63;0;58750;1;56,63;259.193,97
22/05/2013;782,61;0;58750;1;782,61;259.976,58
23/05/2013;-535,76;0;58750;1;-535,76;259.440,82
24/05/2013;-372,53;0;58750;1;-372,53;259.068,29
27/05/2013;45,33;0;58750;1;45,33;259.113,62
28/05/2013;-84,01;0;58750;1;-84,01;259.029,61
29/05/2013;-296,52;0;58750;1;-296,52;258.733,09
30/05/2013;154,3;0;58750;1;154,3;258.887,39
04/06/2013;-174,72;0;58750;1;-174,72;258.712,67
06/06/2013;234,64;0;58750;1;234,64;258.947,31
07/06/2013;98,59;0;58750;1;98,59;259.045,90
10/06/2013;1.620,76;0;58750;1;1.620,76;260.666,66
11/06/2013;-457,36;0;58750;1;-457,36;260.209,30
12/06/2013;1.087,86;0;58750;1;1.087,86;261.297,16
13/06/2013;1.497,77;0;58750;1;1.497,77;262.794,93
14/06/2013;461,85;0;58750;1;461,85;263.256,78
17/06/2013;-595,24;0;58750;1;-595,24;262.661,54
18/06/2013;162,99;0;58750;1;162,99;262.824,53
19/06/2013;-369,49;0;58750;1;-369,49;262.455,04
20/06/2013;94,32;0;58750;1;94,32;262.549,36
21/06/2013;1.735,48;0;58750;1;1.735,48;264.284,84
24/06/2013;48,06;0;58750;1;48,06;264.332,90
25/06/2013;-535,78;0;58750;1;-535,78;263.797,12
28/06/2013;603,2;0;58750;1;603,2;264.400,32
01/07/2013;173,48;0;58750;1;173,48;264.573,80
