Trade number;Market pos.;Qty;Entry price;Exit price;Entry time;Exit time;Profit;Cum. net profit;
1;Long;1;3134,00;3132,50;10/12/2019 1:00:00;10/12/2019 15:30:00;-75,00 $;-75,00 $;
2;Long;1;3224,75;3224,25;31/12/2019 1:00:00;31/12/2019 15:30:00;-25,00 $;-100,00 $;
3;Long;1;3223,25;3225,50;06/01/2020 1:00:00;06/01/2020 15:30:00;112,50 $;12,50 $;
4;Long;1;3188,50;3246,75;08/01/2020 1:00:00;08/01/2020 15:30:00;2912,50 $;2925,00 $;
5;Long;1;3267,25;3275,25;13/01/2020 1:00:00;13/01/2020 15:30:00;400,00 $;3325,00 $;
6;Long;1;3282,25;3295,00;15/01/2020 1:00:00;15/01/2020 15:30:00;637,50 $;3962,50 $;
7;Long;1;3314,25;3309,75;23/01/2020 1:00:00;23/01/2020 15:30:00;-225,00 $;3737,50 $;
8;Long;1;3264,75;3242,00;27/01/2020 1:00:00;27/01/2020 11:00:00;-1137,50 $;2600,00 $;
9;Long;1;3247,50;3257,00;28/01/2020 1:00:00;28/01/2020 15:30:00;475,00 $;3075,00 $;
10;Long;1;3266,75;3244,00;30/01/2020 1:00:00;30/01/2020 7:30:00;-1137,50 $;1937,50 $;
11;Long;1;3233,50;3260,75;03/02/2020 1:00:00;03/02/2020 15:30:00;1362,50 $;3300,00 $;
12;Long;1;3314,25;3332,25;10/02/2020 1:00:00;10/02/2020 15:30:00;900,00 $;4200,00 $;
13;Long;1;3374,75;3373,00;18/02/2020 1:00:00;18/02/2020 15:30:00;-87,50 $;4112,50 $;
14;Long;1;3301,75;3278,75;24/02/2020 1:00:00;24/02/2020 8:30:00;-1150,00 $;2962,50 $;
15;Long;1;3148,25;3113,50;26/02/2020 1:00:00;26/02/2020 9:30:00;-1737,50 $;1225,00 $;
16;Long;1;3098,75;3064,75;27/02/2020 1:00:00;27/02/2020 4:30:00;-1700,00 $;-475,00 $;
17;Long;1;2958,00;2925,50;28/02/2020 1:00:00;28/02/2020 4:00:00;-1625,00 $;-2100,00 $;
18;Long;1;3021,75;3059,00;04/03/2020 1:00:00;04/03/2020 10:00:00;1862,50 $;-237,50 $;
19;Long;1;3010,50;2977,50;06/03/2020 1:00:00;06/03/2020 3:00:00;-1650,00 $;-1887,50 $;
20;Long;1;2790,00;2857,50;10/03/2020 0:00:00;10/03/2020 10:00:00;3375,00 $;1487,50 $;
21;Long;1;2735,50;2705,50;12/03/2020 0:00:00;12/03/2020 0:30:00;-1500,00 $;-12,50 $;
22;Long;1;2442,75;2416,00;13/03/2020 0:00:00;13/03/2020 1:30:00;-1337,50 $;-1350,00 $;
23;Long;1;2432,75;2406,00;17/03/2020 0:00:00;17/03/2020 0:30:00;-1337,50 $;-2687,50 $;
24;Long;1;2341,75;2481,50;20/03/2020 0:00:00;20/03/2020 10:00:00;6987,50 $;4300,00 $;
25;Long;1;2495,25;2534,00;30/03/2020 1:00:00;30/03/2020 10:00:00;1937,50 $;6237,50 $;
26;Long;1;2537,00;2509,00;01/04/2020 1:00:00;01/04/2020 6:00:00;-1400,00 $;4837,50 $;
27;Long;1;2632,50;2640,75;08/04/2020 1:00:00;08/04/2020 10:00:00;412,50 $;5250,00 $;
28;Long;1;2744,75;2745,75;13/04/2020 1:00:00;13/04/2020 10:00:00;50,00 $;5300,00 $;
29;Long;1;2755,00;2782,75;16/04/2020 1:00:00;16/04/2020 10:00:00;1387,50 $;6687,50 $;
30;Long;1;2816,50;2785,50;21/04/2020 1:00:00;21/04/2020 3:00:00;-1550,00 $;5137,50 $;
31;Long;1;2721,50;2774,00;22/04/2020 1:00:00;22/04/2020 10:00:00;2625,00 $;7762,50 $;
32;Long;1;2762,75;2790,25;24/04/2020 1:00:00;24/04/2020 10:00:00;1375,00 $;9137,50 $;
33;Long;1;2870,50;2850,50;01/05/2020 1:00:00;01/05/2020 6:30:00;-1000,00 $;8137,50 $;
34;Long;1;2779,25;2803,75;04/05/2020 1:00:00;04/05/2020 15:30:00;1225,00 $;9362,50 $;
35;Long;1;2838,25;2873,00;07/05/2020 1:00:00;07/05/2020 15:30:00;1737,50 $;11100,00 $;
36;Long;1;2906,50;2922,25;12/05/2020 1:00:00;12/05/2020 15:30:00;787,50 $;11887,50 $;
37;Long;1;2835,50;2844,50;13/05/2020 1:00:00;13/05/2020 15:30:00;450,00 $;12337,50 $;
38;Long;1;2808,50;2788,75;14/05/2020 1:00:00;14/05/2020 12:30:00;-987,50 $;11350,00 $;
39;Long;1;2924,50;2968,00;20/05/2020 1:00:00;20/05/2020 15:30:00;2175,00 $;13525,00 $;
40;Long;1;3026,75;3005,50;29/05/2020 1:00:00;29/05/2020 15:00:00;-1062,50 $;12462,50 $;
41;Long;1;3165,25;3143,00;11/06/2020 1:00:00;11/06/2020 4:00:00;-1112,50 $;11350,00 $;
42;Long;1;3022,75;3001,50;12/06/2020 1:00:00;12/06/2020 1:30:00;-1062,50 $;10287,50 $;
43;Long;1;2987,50;2966,50;15/06/2020 1:00:00;15/06/2020 5:30:00;-1050,00 $;9237,50 $;
44;Long;1;3084,50;3108,00;18/06/2020 1:00:00;18/06/2020 15:30:00;1175,00 $;10412,50 $;
45;Long;1;3056,75;3080,50;22/06/2020 1:00:00;22/06/2020 15:30:00;1187,50 $;11600,00 $;
46;Long;1;3051,00;3029,75;25/06/2020 1:00:00;25/06/2020 2:00:00;-1062,50 $;10537,50 $;
47;Long;1;2996,75;3025,00;29/06/2020 1:00:00;29/06/2020 15:30:00;1412,50 $;11950,00 $;
48;Long;1;3145,25;3153,00;08/07/2020 1:00:00;08/07/2020 15:30:00;387,50 $;12337,50 $;
49;Long;1;3155,75;3133,75;14/07/2020 1:00:00;14/07/2020 13:30:00;-1100,00 $;11237,50 $;
50;Long;1;3234,00;3211,25;24/07/2020 1:00:00;24/07/2020 6:00:00;-1137,50 $;10100,00 $;
51;Long;1;3220,00;3236,75;29/07/2020 1:00:00;29/07/2020 15:30:00;837,50 $;10937,50 $;
52;Long;1;3338,50;3372,25;12/08/2020 1:00:00;12/08/2020 15:30:00;1687,50 $;12625,00 $;
53;Long;1;3370,75;3379,50;17/08/2020 1:00:00;17/08/2020 15:30:00;437,50 $;13062,50 $;
54;Long;1;3361,75;3371,00;20/08/2020 1:00:00;20/08/2020 15:30:00;462,50 $;13525,00 $;
55;Long;1;3498,00;3505,75;01/09/2020 1:00:00;01/09/2020 15:30:00;387,50 $;13912,50 $;
56;Long;1;3442,25;3418,25;04/09/2020 1:00:00;04/09/2020 14:30:00;-1200,00 $;12712,50 $;
57;Long;1;3326,50;3392,25;09/09/2020 1:00:00;09/09/2020 15:30:00;3287,50 $;16000,00 $;
58;Long;1;3343,25;3344,50;11/09/2020 1:00:00;11/09/2020 15:30:00;62,50 $;16062,50 $;
59;Long;1;3365,50;3342,00;17/09/2020 1:00:00;17/09/2020 3:30:00;-1175,00 $;14887,50 $;
60;Long;1;3321,75;3285,25;21/09/2020 1:00:00;21/09/2020 7:30:00;-1825,00 $;13062,50 $;
61;Long;1;3223,75;3225,00;24/09/2020 1:00:00;24/09/2020 10:00:00;62,50 $;13125,00 $;
62;Long;1;3347,75;3370,25;07/10/2020 1:00:00;07/10/2020 10:00:00;1125,00 $;14250,00 $;
63;Long;1;3509,75;3507,75;14/10/2020 1:00:00;14/10/2020 15:30:00;-100,00 $;14150,00 $;
64;Long;1;3479,00;3454,75;15/10/2020 1:00:00;15/10/2020 8:30:00;-1212,50 $;12937,50 $;
65;Long;1;3479,75;3472,00;19/10/2020 1:00:00;19/10/2020 15:30:00;-387,50 $;12550,00 $;
66;Long;1;3442,25;3437,25;20/10/2020 1:00:00;20/10/2020 15:30:00;-250,00 $;12300,00 $;
67;Long;1;3411,25;3422,50;22/10/2020 1:00:00;22/10/2020 15:30:00;562,50 $;12862,50 $;
68;Long;1;3363,50;3340,50;28/10/2020 0:00:00;28/10/2020 10:00:00;-1150,00 $;11712,50 $;
69;Long;1;3275,25;3295,50;29/10/2020 0:00:00;29/10/2020 10:00:00;1012,50 $;12725,00 $;
70;Long;1;3276,75;3240,75;30/10/2020 0:00:00;30/10/2020 6:00:00;-1800,00 $;10925,00 $;
71;Long;1;3251,75;3299,00;02/11/2020 1:00:00;02/11/2020 10:00:00;2362,50 $;13287,50 $;
72;Long;1;3535,75;3553,75;11/11/2020 1:00:00;11/11/2020 15:30:00;900,00 $;14187,50 $;
73;Long;1;3537,75;3561,00;13/11/2020 1:00:00;13/11/2020 15:30:00;1162,50 $;15350,00 $;
74;Long;1;3599,00;3606,75;18/11/2020 1:00:00;18/11/2020 15:30:00;387,50 $;15737,50 $;
75;Long;1;3556,50;3561,25;19/11/2020 1:00:00;19/11/2020 15:30:00;237,50 $;15975,00 $;
76;Long;1;3557,25;3570,50;20/11/2020 1:00:00;20/11/2020 15:30:00;662,50 $;16637,50 $;
