Performance;All trades;Long trades;Short trades;
Total net profit;10961,08 $;8915,20 $;2045,88 $;
Gross profit;221667,36 $;123476,52 $;98190,84 $;
Gross loss;-210706,28 $;-114561,32 $;-96144,96 $;
Commission;9313,92 $;5084,80 $;4229,12 $;
Profit factor;1,05;1,08;1,02;
Max drawdown;-14201,72 $;-12941,80 $;-15521,92 $;
Sharpe ratio;0,23;0,16;0,03;
Sortino ratio;0,51;0,23;0,05;
Ulcer index;0,02;0,02;0,02;
R squared;0,05;0,20;0,05;
Probability;30,49 %;27,88 %;45,06 %;
;;;;
Start date;02/10/2018;;;
End date;01/01/2020;;;
;;;;
Total # of trades;2079;1135;944;
Percent profitable;26,12 %;26,52 %;25,64 %;
# of winning trades;543;301;242;
# of losing trades;1536;834;702;
# of even trades;0;0;0;
;;;;
Total slippage;0;0;0;
;;;;
Avg trade;5,27 $;7,85 $;2,17 $;
Avg winning trade;408,23 $;410,22 $;405,75 $;
Avg losing trade;-137,18 $;-137,36 $;-136,96 $;
Ratio avg win / avg loss;2,98;2,99;2,96;
;;;;
Max consec winners;4;5;6;
Max consec losers;21;14;22;
Largest winning trade;4170,52 $;3120,52 $;4170,52 $;
Largest losing trade;-3054,48 $;-3054,48 $;-2879,48 $;
;;;;
Avg # of trades per day;7,09;3,87;3,22;
Avg time in market;18,73 min;20,61 min;16,48 min;
Avg bars in trade;0,00;0,00;0,00;
Profit per month;786,62 $;639,80 $;146,82 $;
Max time to recover;313,85 days;148,94 days;381,92 days;
Longest flat period;5,92 days;5,93 days;5,95 days;
;;;;
Avg MAE;175,94 $;169,23 $;184,00 $;
Avg MFE;307,01 $;305,02 $;309,40 $;
Avg ETD;301,74 $;297,17 $;307,23 $;
